fold,seed,image_id,method,stage,mse,psnr_db,ssim,delta_e00,element_count,below_zero_count,above_one_count,total_oor_count,below_zero_fraction,above_one_fraction,total_oor_fraction,mean_clip_magnitude_active,max_clip_magnitude
0,20260813,80.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0018791082067855997,27.26048210715429,0.9738384485244751,3.8460664971140908,529200,12956,5,12961,0.024482237339380198,9.44822373393802e-06,0.024491685563114134,0.022140247215370664,0.05979662016034126
0,20260813,80.png,RGB_ADD_FULL_B0P1,post-clipping,0.0018601829911475975,27.304443309774747,0.9817436933517456,3.777403367851408,529200,12956,5,12961,0.024482237339380198,9.44822373393802e-06,0.024491685563114134,0.022140247215370664,0.05979662016034126
0,20260813,80.png,BOSR_FULL_B1,final,0.001861599971765672,27.301136363081405,0.9757403135299683,3.7952111032351907,,,,,,,0.0,,
0,20260813,85.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0003090272044079495,35.1000328690461,0.9760388135910034,2.504212766333928,529200,10235,0,10235,0.019340513983371128,0.0,0.019340513983371128,0.03006377622166675,0.05910855159163475
0,20260813,85.png,RGB_ADD_FULL_B0P1,post-clipping,0.00028704410006320937,35.42051375242363,0.9900363683700562,2.4329990602643923,529200,10235,0,10235,0.019340513983371128,0.0,0.019340513983371128,0.03006377622166675,0.05910855159163475
0,20260813,85.png,BOSR_FULL_B1,final,0.0002717109410379075,35.6589287340868,0.9828290343284607,2.338800781011496,,,,,,,0.0,,
0,20260813,89.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0008119226382308078,30.904853493180056,0.9777016043663025,2.555446973886851,529200,9783,29,9812,0.018486394557823128,5.4799697656840517e-05,0.01854119425547997,0.029064275169774285,0.05499092489480972
0,20260813,89.png,RGB_ADD_FULL_B0P1,post-clipping,0.0007921376382130168,31.011993508310226,0.9875366687774658,2.487405367018239,529200,9783,29,9812,0.018486394557823128,5.4799697656840517e-05,0.01854119425547997,0.029064275169774285,0.05499092489480972
0,20260813,89.png,BOSR_FULL_B1,final,0.0008186255586153111,30.86914700208322,0.9808886647224426,2.541129879334745,,,,,,,0.0,,
0,20260813,91.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0008777725877559863,30.566179860020984,0.955651581287384,2.693585227979069,529200,43027,14622,57649,0.08130574452003024,0.027630385487528344,0.10893613000755858,0.010979676640853185,0.05301197990775108
0,20260813,91.png,RGB_ADD_FULL_B0P1,post-clipping,0.0008444633912508675,30.734191729992546,0.9824946522712708,2.593011306142176,529200,43027,14622,57649,0.08130574452003024,0.027630385487528344,0.10893613000755858,0.010979676640853185,0.05301197990775108
0,20260813,91.png,BOSR_FULL_B1,final,0.0008192307637861345,30.865937474184157,0.9740935564041138,2.556884969101361,,,,,,,0.0,,
0,20260813,97.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00023051890733288128,36.372934476557724,0.9765427112579346,1.9053763374426966,529200,27356,219,27575,0.051693121693121694,0.0004138321995464853,0.05210695389266818,0.012543277526031571,0.05616633966565132
0,20260813,97.png,RGB_ADD_FULL_B0P1,post-clipping,0.000211981251509074,36.73702548157167,0.9882636666297913,1.8187983331497053,529200,27356,219,27575,0.051693121693121694,0.0004138321995464853,0.05210695389266818,0.012543277526031571,0.05616633966565132
0,20260813,97.png,BOSR_FULL_B1,final,0.00020802179275448602,36.81891165146645,0.9807689785957336,1.7426780996776376,,,,,,,0.0,,
0,20260813,101.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0006454861666166162,31.901130606422473,0.9759116172790527,2.421204007367094,529200,10953,21,10974,0.020697278911564625,3.968253968253968e-05,0.020736961451247166,0.025426809494914736,0.057436276227235794
0,20260813,101.png,RGB_ADD_FULL_B0P1,post-clipping,0.0006272520192447957,32.02557931933701,0.9875088930130005,2.3569929776039324,529200,10953,21,10974,0.020697278911564625,3.968253968253968e-05,0.020736961451247166,0.025426809494914736,0.057436276227235794
0,20260813,101.png,BOSR_FULL_B1,final,0.0006337340278388687,31.980929731558156,0.9798914194107056,2.3879248932103203,,,,,,,0.0,,
0,20260813,103.png,RGB_ADD_FULL_B0P1,pre-clipping,0.00012318374214541952,39.09446606801858,0.9797279238700867,1.3882629798889852,529200,9887,0,9887,0.01868291761148904,0.0,0.01868291761148904,0.026627911981199567,0.05714036151766777
0,20260813,103.png,RGB_ADD_FULL_B0P1,post-clipping,0.0001062696774090501,39.73590637758312,0.9889373183250427,1.3281109636514872,529200,9887,0,9887,0.01868291761148904,0.0,0.01868291761148904,0.026627911981199567,0.05714036151766777
0,20260813,103.png,BOSR_FULL_B1,final,0.00011040394917663428,39.5701539150768,0.9821740984916687,1.3144126477099816,,,,,,,0.0,,
0,20260813,112.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0005066056543058979,32.953299672889635,0.9681094884872437,2.5811429836930637,529200,17939,22,17961,0.03389833711262283,4.157218442932729e-05,0.03393990929705215,0.021053224936431626,0.05945130065083504
0,20260813,112.png,RGB_ADD_FULL_B0P1,post-clipping,0.00048202476419680334,33.16930649151719,0.986897885799408,2.5121705575334285,529200,17939,22,17961,0.03389833711262283,4.157218442932729e-05,0.03393990929705215,0.021053224936431626,0.05945130065083504
0,20260813,112.png,BOSR_FULL_B1,final,0.00048348083329659205,33.15620738041205,0.9799510836601257,2.519769088586327,,,,,,,0.0,,
0,20260813,116.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0005781236794036484,32.37979241965953,0.9782488942146301,2.2516387099422994,529200,13180,0,13180,0.02490551776266062,0.0,0.02490551776266062,0.0213632127032654,0.054583825170993805
0,20260813,116.png,RGB_ADD_FULL_B0P1,post-clipping,0.0005602608947600245,32.516096894771394,0.9867594838142395,2.1850929984748286,529200,13180,0,13180,0.02490551776266062,0.0,0.02490551776266062,0.0213632127032654,0.054583825170993805
0,20260813,116.png,BOSR_FULL_B1,final,0.0005547646656615977,32.55891208011291,0.9801362156867981,2.2026210836263944,,,,,,,0.0,,
0,20260813,123.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0012126352715551981,29.162698037251573,0.9754201173782349,3.4335753007607863,529200,10316,0,10316,0.019493575207860922,0.0,0.019493575207860922,0.02608204497304994,0.05774304270744324
0,20260813,123.png,RGB_ADD_FULL_B0P1,post-clipping,0.0011949712641340375,29.22642538212138,0.9855169653892517,3.3707946506362974,529200,10316,0,10316,0.019493575207860922,0.0,0.019493575207860922,0.02608204497304994,0.05774304270744324
0,20260813,123.png,BOSR_FULL_B1,final,0.0011708399256290878,29.315024765484967,0.9787901639938354,3.3420186950037363,,,,,,,0.0,,
0,20260813,131.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0013131918251322414,28.816718294996644,0.9581460356712341,3.934787875556602,529200,34187,709,34896,0.06460128495842782,0.0013397581254724112,0.06594104308390022,0.009995139852873909,0.05319742485880852
0,20260813,131.png,RGB_ADD_FULL_B0P1,post-clipping,0.0012940886995029956,28.880359552094433,0.9702351093292236,3.8643487493135353,529200,34187,709,34896,0.06460128495842782,0.0013397581254724112,0.06594104308390022,0.009995139852873909,0.05319742485880852
0,20260813,131.png,BOSR_FULL_B1,final,0.0011970820098728106,29.21876095863274,0.9671003222465515,3.7004173974046064,,,,,,,0.0,,
0,20260813,144.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0021365781524664627,26.70281216788199,0.959581732749939,4.292424498227811,529200,16473,77,16550,0.0311281179138322,0.0001455026455026455,0.031273620559334844,0.024712442687617187,0.056192006915807724
0,20260813,144.png,RGB_ADD_FULL_B0P1,post-clipping,0.0021081977939131557,26.76088645463643,0.9810994267463684,4.216006542921317,529200,16473,77,16550,0.0311281179138322,0.0001455026455026455,0.031273620559334844,0.024712442687617187,0.056192006915807724
0,20260813,144.png,BOSR_FULL_B1,final,0.002081970134577334,26.815255046435862,0.9743505716323853,4.193040234270578,,,,,,,0.0,,
0,20260813,148.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0011391350441454092,29.43424787377774,0.9624370336532593,3.5216170636089745,529200,59679,404,60083,0.11277210884353742,0.000763416477702192,0.1135355253212396,0.009669683407705545,0.05500487610697746
0,20260813,148.png,RGB_ADD_FULL_B0P1,post-clipping,0.0011132182485149196,29.534196830742733,0.9808900952339172,3.375313917988492,529200,59679,404,60083,0.11277210884353742,0.000763416477702192,0.1135355253212396,0.009669683407705545,0.05500487610697746
0,20260813,148.png,BOSR_FULL_B1,final,0.0011064155975828319,29.560817104327235,0.9739657044410706,3.321173263859496,,,,,,,0.0,,
0,20260813,151.png,RGB_ADD_FULL_B0P1,pre-clipping,0.0005736372697773984,32.41362639884115,0.9770818948745728,2.6875633404930963,529200,10262,3,10265,0.01939153439153439,5.668934240362812e-06,0.019397203325774753,0.02697612424803813,0.05761025473475456
