seed,image_id,bosr_mse,additive_clipped_mse,favorable_effect_mse,bosr_psnr_db,additive_clipped_psnr_db,favorable_effect_psnr_db,bosr_ssim,additive_clipped_ssim,favorable_effect_ssim,bosr_delta_e00,additive_clipped_delta_e00,favorable_effect_delta_e00
20260801,0.png,0.0001440788367258,0.0001354274491109,-6.388208351923886,38.41399806612482,38.68293301757045,-0.2689349514456296,0.9860076904296876,0.99165141582489,-0.005643725395202415,1.0590064399289358,1.0069534009771075,-5.169359267401862
20260801,1.png,0.0003657269744679,0.0003544903953018,-3.169783812205582,34.368430067645775,34.50395527262105,-0.13552520497527354,0.9843044877052308,0.9888996481895448,-0.004595160484313965,1.8073663490940164,1.7766026884589097,-1.731600477414128
20260801,10.png,0.0015763387332163,0.0015626960168853,-0.873024323578437,28.023504529888395,28.06125494807967,-0.037750418191276225,0.9824703335762024,0.9855092763900756,-0.00303894281387318,3.860922462304019,3.816601295356764,-1.1612731725783314
20260801,11.png,0.0018985472551862,0.0018363681309555,-3.3859836261886644,27.21578588721076,27.360402527554196,-0.14461664034343613,0.9820833802223206,0.98686945438385,-0.00478607416152943,4.045310973568348,3.9564141481093777,-2.246903942082278
20260801,12.png,0.0006097391793281,0.0005499229962241,-10.877192536902795,32.14855898106956,32.59698118971641,-0.44842220864684634,0.9814034104347228,0.9867191314697266,-0.005315721035003773,2.6940106920801266,2.4442931192152733,-10.216351341079081
20260801,13.png,0.000286561346783,0.0002672714073916,-7.217359903798761,35.42782390389911,35.73047499441146,-0.30265109051234873,0.9855489134788512,0.9905952215194702,-0.0050463080406190075,1.5721496056553204,1.4924776697699649,-5.338233026805372
20260801,14.png,0.0007027150610485,0.0006775505972863,-3.7140346216190756,31.5322073827978,31.69058267535832,-0.15837529256052107,0.9847054481506348,0.9872265458106996,-0.0025210976600648083,2.609609925080205,2.578864287926512,-1.19221617429174
20260801,15.png,0.0002456117189872,0.0002804244252338,12.414291735670096,36.0975091534006,35.52184161595888,0.5756675374417242,0.9828587174415588,0.9871095418930054,-0.004250824451446533,1.410121250444619,1.4900855111178326,5.366420925281395
20260801,16.png,0.0010497305737277,0.0010830461466854,3.0760991172592647,29.789221536520596,29.653530384588013,0.1356911519325834,0.9842897653579712,0.9882858395576476,-0.003996074199676403,3.0590429442648195,3.110856724841224,1.6655791365334915
20260801,17.png,0.0025978055376715,0.0025341048142931,-2.5137367254546503,25.85393361760705,25.961754260241086,-0.10782064263403512,0.9781716465950012,0.9818286299705504,-0.0036569833755492054,4.917176655907546,4.811688637034596,-2.1923284491234467
20260801,18.png,0.0006345342767194,0.000664250642836,4.473667648965588,31.9754491291044,31.7766801662412,0.1987689628632019,0.984325110912323,0.9884361028671264,-0.004110991954803356,2.4887843856676577,2.509197002916941,0.8135119412925113
20260801,19.png,0.0002202144524833,0.0002376224936135,7.3259230914875815,36.57154182059066,36.24112450938966,0.33041731120100337,0.9864223003387452,0.9914876222610474,-0.005065321922302135,1.4105185551971706,1.4159302617732423,0.38220149128632563
20260801,2.png,0.0002535251155358,0.0002776586841815,8.691811213051905,35.95979010696266,35.56488738783789,0.39490271912476516,0.9846891164779664,0.9902607798576356,-0.0055716633796691895,1.429140187880486,1.4150115793692437,-0.9984800631483297
20260801,20.png,0.001927475545737,0.0018703053826456,-3.0567287899546765,27.15011123221933,27.280874762604498,-0.13076353038516686,0.9791236519813538,0.9830796122550964,-0.003955960273742676,3.883380975205871,3.806987604301895,-2.0066619291760084
20260801,21.png,0.0004777824416556,0.000437266677507,-9.265687561557078,33.20769814469325,33.59253617386948,-0.38483802917622967,0.9837239980697632,0.9887595772743224,-0.005035579204559215,2.128559112246702,2.037308063773465,-4.479000996256953
20260801,22.png,0.0003043542507187,0.0002696384032679,-12.874964037043316,35.166206283587314,35.69218253310248,-0.5259762495151676,0.9850736856460572,0.990676760673523,-0.005603075027465709,1.6966534234994697,1.5690851176494702,-8.130107437453747
20260801,23.png,0.0012598621125654,0.0012593892712256,-0.037545288863689935,28.99676984270418,28.99840010785695,-0.0016302651527695389,0.9827446341514589,0.9858956933021544,-0.0031510591506955787,3.585816095401857,3.5946958155721074,0.24702285327686813
20260801,24.png,0.0012783908259041,0.0014460346558868,11.59334800865407,28.933363546395054,28.398212985490527,0.5351505609045262,0.9826216101646424,0.9876198768615724,-0.004998266696929932,2.5689185929873224,2.645043332337845,2.87801482946743
20260801,25.png,0.0013042637426585,0.0013410609766602,2.74388969943339,28.84634578543233,28.72551474777022,0.12083103766211067,0.9820268750190736,0.9859935641288756,-0.003966689109802024,3.460928509202035,3.47728122172804,0.4702729369089763
20260801,26.png,0.0005282914916111,0.000543668457218,2.8283718510331273,32.77126383778517,32.6466586334471,0.12460520433806721,0.9884564876556396,0.9918935298919678,-0.003437042236328125,2.1235307568130595,2.164410636641292,1.8887303146721417
20260801,27.png,0.0009867488345762,0.0010529636068701,6.288419833494653,30.05793377866241,29.77586638889161,0.28206738977079837,0.983372449874878,0.9886132478713988,-0.005240797996520774,2.7925906766503754,2.821458755799863,1.0231614795057897
20260801,28.png,0.0005803003900064,0.0005964679521182,2.710550005978552,32.363471375561346,32.24412885760787,0.11934251795347706,0.9872317910194396,0.9893301129341124,-0.0020983219146728516,2.28475529000347,2.276129086432204,-0.3789856920983126
20260801,29.png,0.0002209909442814,0.0002191446967495,-0.8424787637048766,36.55625522374493,36.592690347077465,-0.036435123332537955,0.9842942357063292,0.9867821931838988,-0.00248795747756958,1.8300895206038668,1.7951323840557811,-1.9473291696240376
20260801,3.png,0.0002115218698342,0.0002147056175472,1.4828432294278902,36.74644723053344,36.681565925555645,0.06488130497779565,0.98562091588974,0.9889454245567322,-0.0033245086669921875,1.9406183523822456,1.878608114872834,-3.300860728668212
20260801,30.png,0.0001380292622357,0.0001303144805984,-5.920126145516571,38.600288333065336,38.85007322625352,-0.24978489318818475,0.9886095523834229,0.990587592124939,-0.0019780397415161133,1.2264568837983345,1.207974182469081,-1.5300576450628345
20260801,31.png,0.0001509684380629,0.0001476190477901,-2.2689417950740958,38.211138381891686,38.30857600396234,-0.09743762207065032,0.9895942807197572,0.9916267395019532,-0.002032458782196045,1.2748337748474567,1.280673803790321,0.4560122121323827
20260801,32.png,0.0011424741047251,0.0010955744631824,-4.28082646308376,29.42153634848872,29.60358099298858,-0.1820446444998609,0.9803414940834044,0.9858219623565674,-0.005480468273162953,3.0871088942766174,3.015246096789104,-2.383314501726376
20260801,33.png,0.0022542794832987,0.0022198563431514,-1.5506922442752085,26.46992241559669,26.536751297814835,-0.06682888221814309,0.9793720245361328,0.9827463030815125,-0.0033742785453796387,4.549902125152958,4.492610983268484,-1.275230419411755
20260801,34.png,0.0015904486540799,0.0015025585481378,-5.849363144685892,27.98480347059417,28.231685964381647,-0.24688249378747784,0.9810783863067628,0.9863135814666748,-0.005235195159911998,3.7930540681275433,3.6423199220452553,-4.138410389761889
20260801,35.png,0.001583704726636,0.0016326896962792,3.000262067852431,28.00325787106559,27.870963480245933,0.13229439081965566,0.979996144771576,0.9843763113021852,-0.004380166530609131,3.79688440471758,3.79452806622001,-0.062098328341450036
20260801,36.png,0.0008334507032613,0.0008652684165845,3.677207293523432,30.79120082620252,30.628491483054944,0.16270934314757568,0.9856716990470886,0.989094078540802,-0.003422379493713379,2.852731304364565,2.9062088521417238,1.8401137185219358
20260801,37.png,0.0001480198186499,0.0001508523860818,1.877708073085456,38.29680132212513,38.21447816055806,0.08232316156706787,0.9861308336257936,0.9883289933204652,-0.002198159694671631,1.2556609501561444,1.226426569305155,-2.3837041354667035
20260801,38.png,0.000492212403835,0.0004745179076651,-3.728941707799184,33.07847446201579,33.237473932400505,-0.15899947038471396,0.9879788160324096,0.9897958636283876,-0.0018170475959780052,2.097870617399854,2.0860139314348327,-0.5683895867783422
20260801,39.png,0.0002121514406869,0.0002210537913249,4.027232731292775,36.733540146620165,36.555020320479606,0.17851982614055828,0.9883054494857788,0.990083634853363,-0.0017781853675842285,1.429990179359878,1.456355145314616,1.8103390535996227
20260801,4.png,0.0012806364115051,0.0012822654650866,0.12704495487522519,28.925741543227453,28.92022054312284,0.005521000104611318,0.9852635264396667,0.9875518679618835,-0.002288341522216797,3.429893973349669,3.392352123138116,-1.1066613620529726
20260801,40.png,0.0026043091016593,0.0025524291895592,-2.032570083131644,25.843074712642803,25.93046297433112,-0.08738826168831793,0.979340136051178,0.9826419353485109,-0.0033017992973328747,4.953520969302565,4.870377680069927,-1.7071220076600682
20260801,41.png,0.0005135476745943,0.000471058614055,-9.01990947019154,32.89419232977749,33.26925050032702,-0.3750581705495293,0.985869824886322,0.9910969138145448,-0.005227088928222767,2.0946499074184364,2.005790513284724,-4.430143304855631
20260801,42.png,0.0002125468562654,0.0002098041518237,-1.3072689066728878,36.725453142050206,36.781859217844286,-0.05640607579407941,0.9880000948905944,0.990431785583496,-0.0024316906929016113,1.4887701427862208,1.4994922534127515,0.7150494177030834
20260801,43.png,0.0007390998260928,0.0007502633542845,1.4879479489367164,31.31296899909185,31.247862656259173,0.06510634283267791,0.9845725893974304,0.9882593750953674,-0.0036867856979370117,2.7017321007463893,2.6703565641323643,-1.1749568217014221
20260801,44.png,0.000610220176115,0.000661006049956,7.683117854122588,32.14513437089285,31.79794565551409,0.3471887153787563,0.9828375577926636,0.9882335066795348,-0.005395948886871227,2.111820119704343,2.111324939366232,-0.023453535212806423
