dataset,channel,element_count,below_zero_fraction,above_one_fraction,total_oor_fraction,mean_active_clip_magnitude
OOF train360,R,63504000,0.012669690098261526,0.007482851473922902,0.020152541572184428,0.012475093609496866
OOF train360,G,63504000,0.03438630637440161,0.0012127582514487277,0.035599064625850343,0.028865515209545785
OOF train360,B,63504000,0.07926706979087932,0.00013907785336356765,0.07940614764424288,0.01570544861236045
CEC test100 three-seed,R,52920000,0.012504459561602418,0.005085298563869993,0.01758975812547241,0.03331143571856499
CEC test100 three-seed,G,52920000,0.020608673469387755,0.0002472033257747543,0.02085587679516251,0.04249641106633843
CEC test100 three-seed,B,52920000,0.06072471655328798,0.00011402116402116403,0.060838737717309146,0.02401839557740318
