seed,metric,favorable_effect,ci95_low,ci95_high,favorable_images,n_images
20260801,mse,-0.5940122950491297,-1.4021621901265025,0.2626702651238611,40,100
20260801,psnr_db,-0.015000966281860926,-0.06300624918941207,0.03249464565289183,40,100
20260801,ssim,-0.0038625037670135367,-0.004220498666167199,-0.003569373741745957,0,100
20260801,delta_e00,-1.2019101317488199,-1.667587226376593,-0.7442942707206394,35,100
20260802,mse,0.124311362782775,-0.39528950291522136,0.6654094989166985,58,100
20260802,psnr_db,0.034348958057958574,0.008667783634797744,0.061472249987369915,58,100
20260802,ssim,0.00019318461418151633,0.00014138719439505675,0.0002417698800564333,85,100
20260802,delta_e00,-0.012647438764137769,-0.3358959120690842,0.30700414244263424,54,100
20260803,mse,-0.6394396840468046,-1.0658261124800796,-0.20342071125951075,43,100
20260803,psnr_db,-0.03648248302382498,-0.058694795855089764,-0.015015267917363332,43,100
20260803,ssim,-0.00012083351612090288,-0.00017176580429075216,-7.472606003280092e-05,33,100
20260803,delta_e00,-0.529942720292354,-0.893954212851116,-0.18370932823423,34,100
