dataset,active_values,mean,q00,q25,q50,q75,q90,q95,q99,q100
OOF train360,8583058,0.01869000680744648,1.862645149230957e-09,0.004245075862854719,0.013841426465660334,0.02861961768940091,0.04293920621275901,0.054678406566381454,0.07047638848423954,0.0947594866156578
CEC test100 three-seed,5254129,0.029546327888965607,7.450580596923828e-09,0.008244000375270844,0.017345761880278587,0.037160132080316544,0.07343799173831941,0.10029471069574356,0.16099867641925775,0.3625127673149109
