dataset,n_outputs,element_count,below_zero_fraction,above_one_fraction,total_oor_fraction,active_clipping_count
OOF train360,360,190512000,0.04210768875451415,0.0029448958595783992,0.04505258461409255,8583058
CEC test100 three-seed,300,158760000,0.03127928319475939,0.0018155076845553036,0.03309479087931469,5254129
