method,stage,n_images,mse,psnr_db,ssim,delta_e00,total_oor_fraction
RGB_ADD_FULL_B0P1,pre-clipping,360,0.0008393242224221737,32.35304859387146,0.9653848722577095,2.579583263557883,0.045052584614092506
RGB_ADD_FULL_B0P1,post-clipping,360,0.0008079104722474321,32.69384948181294,0.98172773602936,2.4953832769140996,0.045052584614092506
BOSR_FULL_B1,final,360,0.0008224796914910091,32.56083455265378,0.9735259056091309,2.536421889917302,0.0
